exp_id,seed,k_eval,gen,id,t_spin,h_score,t_norm,h_norm,diversity,r_0,r_1,r_2,r_3,r_4,r_5,r_6,r_7,r_8,r_9,r_10,r_11,r_12,r_13,r_14,r_15,r_16,r_17,r_18,r_19
noHITL,1,0,2,35,0.014396,,0.847103,0,0.479528,0.357361,0.24084,0.4,0.283674,0.4,0.312856,0.32578,0.393517,0.30752,0.4,0.237448,0.342323,0.270961,0.330176,0.112919,0.332299,0.131135,0.37303,0.358962,0.1
noHITL,1,0,2,36,0.0106558,,0.43808,0,0.479528,0.175697,0.353524,0.296053,0.291974,0.255699,0.29996,0.207994,0.204542,0.220176,0.4,0.197799,0.4,0.207752,0.112423,0.247943,0.283132,0.340096,0.297933,0.389892,0.190771
noHITL,1,0,2,37,0.00804986,,0.153099,0,0.479528,0.350682,0.214711,0.209958,0.307096,0.270506,0.23553,0.259689,0.1,0.282773,0.241831,0.209445,0.398458,0.1,0.190637,0.16447,0.271345,0.134145,0.372228,0.387987,0.127566
noHITL,1,0,2,38,0.0087636,,0.231153,0,0.479528,0.183711,0.353889,0.247169,0.347991,0.173158,0.315924,0.142571,0.1,0.26413,0.202544,0.174966,0.359074,0.192148,0.243018,0.322149,0.153525,0.291374,0.306649,0.226627,0.308714
noHITL,1,0,2,39,0.00979397,,0.343834,0,0.479528,0.199386,0.4,0.341211,0.210256,0.306014,0.258599,0.1,0.1,0.279783,0.283245,0.225995,0.108326,0.260951,0.332262,0.1,0.34708,0.329055,0.325574,0.364024,0.201393
noHITL,1,0,3,0,0.0157941,,0.813352,0,0.423782,0.165904,0.329067,0.330698,0.256116,0.4,0.32952,0.1,0.222197,0.275153,0.366992,0.201577,0.4,0.327076,0.372764,0.236825,0.35586,0.4,0.4,0.296816,0.204424
noHITL,1,0,3,1,0.015281,,0.760843,0,0.423782,0.248183,0.38945,0.269849,0.4,0.359809,0.383796,0.169452,0.115268,0.24913,0.39076,0.1,0.282764,0.4,0.351904,0.182994,0.36895,0.268098,0.320186,0.111337,0.348444
noHITL,1,0,3,2,0.00784679,,0,0,0.423782,0.102998,0.277481,0.345101,0.325246,0.157405,0.206347,0.250806,0.265103,0.282226,0.229906,0.363093,0.21094,0.361462,0.176828,0.399455,0.146688,0.260991,0.269292,0.164308,0.159604
noHITL,1,0,3,3,0.00922803,,0.14136,0,0.423782,0.270935,0.187186,0.385417,0.377957,0.160679,0.237436,0.279109,0.2899,0.207799,0.349921,0.242249,0.232385,0.135511,0.278734,0.264614,0.133668,0.205223,0.369303,0.272966,0.337625
noHITL,1,0,3,4,0.00967169,,0.186767,0,0.423782,0.21954,0.397635,0.11793,0.139409,0.10268,0.38922,0.385684,0.306157,0.275621,0.302641,0.240741,0.303261,0.321492,0.176142,0.394163,0.226229,0.299086,0.19117,0.183486,0.255542
noHITL,1,0,3,5,0.0113755,,0.361134,0,0.423782,0.308011,0.231528,0.16562,0.247273,0.396578,0.3707,0.361504,0.363532,0.249466,0.113135,0.140579,0.258661,0.371269,0.189446,0.202378,0.217335,0.280754,0.172835,0.303808,0.124144
noHITL,1,0,3,6,0.0138698,,0.616412,0,0.423782,0.104517,0.4,0.232162,0.324343,0.4,0.337977,0.152825,0.21163,0.22402,0.388809,0.122641,0.378684,0.337174,0.349745,0.325444,0.22982,0.264342,0.4,0.252625,0.298261
noHITL,1,0,3,7,0.0155469,,0.788049,0,0.423782,0.4,0.317071,0.304347,0.277486,0.4,0.279524,0.380475,0.142597,0.269221,0.4,0.190706,0.394335,0.329586,0.34282,0.209319,0.38779,0.1,0.4,0.287199,0.146674
noHITL,1,0,3,8,0.0133503,,0.563252,0,0.423782,0.193979,0.4,0.247305,0.367373,0.379859,0.363837,0.169552,0.189742,0.268982,0.350706,0.170719,0.226026,0.359649,0.321153,0.178321,0.271325,0.320517,0.288995,0.219269,0.380718
noHITL,1,0,3,9,0.0135064,,0.579225,0,0.423782,0.189682,0.315551,0.333089,0.274703,0.395428,0.271949,0.223961,0.1,0.307501,0.382461,0.148452,0.196744,0.355571,0.331405,0.185961,0.34105,0.384898,0.350275,0.317338,0.159742
noHITL,1,0,3,10,0.0151828,,0.750791,0,0.423782,0.300716,0.25686,0.4,0.337648,0.4,0.277221,0.250407,0.394368,0.234132,0.4,0.24732,0.295193,0.4,0.362306,0.1,0.325371,0.134801,0.399667,0.325863,0.1
noHITL,1,0,3,11,0.013074,,0.534964,0,0.423782,0.157671,0.305397,0.341717,0.352954,0.325951,0.373024,0.138151,0.153552,0.206196,0.344041,0.191317,0.266173,0.281382,0.4,0.197959,0.36568,0.388279,0.39766,0.300393,0.270775
